rep,id,date,mc_mass,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,treatment,fd_day,p_mass_cons,p_mass_cons_avg,n_mass_cons,fd_day_count,fd.day.count,mc_mass_init,mc_mass_true,mc_mass_true_intrp,pulse_cat,mc_mass_diff,total_p_cons,total_n_cons,trt_pulse,trt_total
1,2.2,2018-03-15,433.13,0,2,19.75,0,zone.2,1,0,1.74,0,3,1,431.13,2.26,2.26,b1,NA,1.74,0,constant,100
1,2.2,2018-03-18,433.23,NA,2.09,18.18,13.43,zone.2,2,0,1.74,6.32,2,2,431.13,1.8400000000000227,1.8400000000000227,b1,NA,3.48,6.32,constant,100
1,2.2,2018-03-22,434.39,NA,1.95,18.46,8.05,zone.2,3,0,1.74,10.129999999999999,1,3,431.13,4.999999999999991,4.999999999999991,b1,NA,5.22,16.45,constant,100
1,2.2,2018-03-26,436.3,0.82,2.15,18.84,7.49,zone.2,4,5.22,1.55,10.97,3,0,431.13,2.6800000000000157,2.6800000000000157,b1,NA,6.77,27.42,constant,100
1,2.2,2018-03-29,437.66,NA,2.14,18.24,9.26,zone.2,5,0,1.55,9.58,2,1,431.13,5.930000000000029,5.930000000000029,p1,NA,8.32,37,constant,100
1,2.2,2018-04-01,438.69,NA,2.05,19.73,8.88,zone.2,6,0,1.55,9.359999999999998,1,2,431.13,9.110000000000003,9.110000000000003,p1,NA,9.870000000000001,46.36,constant,100
1,2.2,2018-04-05,438.63,NA,1.98,18.01,7.16,zone.2,7,0,1.55,12.57,0,3,431.13,2.71,2.71,p1,NA,11.42,58.93,constant,100
1,2.2,2018-04-09,439.47,3.67,2.06,19.05,7,zone.2,8,4.65,1.9666666666666666,11.010000000000002,3,0,431.13,6.276666666666698,6.276666666666698,a1.b2,NA,13.386666666666667,69.94,constant,100
1,2.2,2018-04-13,437.22,NA,2.03,18.5,8.33,zone.2,9,0,1.9666666666666666,10.72,2,1,431.13,5.996666666666698,5.996666666666698,a1.b2,NA,15.353333333333333,80.66,constant,100
1,2.2,2018-04-16,437.88,NA,2.02,17.84,8.24,zone.2,10,0,1.9666666666666666,10.26,1,2,431.13,8.716666666666667,8.716666666666667,a1.b2,NA,17.32,90.92,constant,100
1,2.2,2018-04-20,439.73,NA,2.08,18.3,7.55,zone.2,11,0,1.9666666666666666,10.29,0,3,431.13,4.45666666666669,4.45666666666669,a1.b2,NA,19.286666666666665,101.21,constant,100
1,2.2,2018-04-24,442.62,2.29,2.02,18.89,8.43,zone.2,12,5.8999999999999995,0.47750000000000004,9.870000000000001,3,0,431.13,7.8675000000000095,7.8675000000000095,p2,NA,19.764166666666668,111.08,constant,100
1,2.2,2018-04-28,NA,NA,2.06,17.32,7.56,zone.2,13,0,0.47750000000000004,11.330000000000002,2,1,431.13,11.547500000000005,11.547500000000005,p2,NA,20.241666666666667,122.41,constant,100
1,2.2,2018-05-02,445.88,NA,2,20.56,9.6,zone.2,14,0,0.47750000000000004,7.720000000000001,1,2,431.13,15.2275,15.2275,p2,NA,20.719166666666666,130.13,constant,100
1,2.2,2018-05-07,443.51,4.17,2.03,18.09,11.4,zone.2,15,1.9100000000000001,0,9.159999999999998,3,3,431.13,13.318333333333333,13.318333333333333,a2,NA,20.719166666666666,139.29,constant,100
1,2.2,2018-05-11,NA,NA,2.04,18.74,9.38,zone.2,16,0,0,8.709999999999999,2,1,431.13,11.409166666666668,11.409166666666668,a2,NA,20.719166666666666,148,constant,100
1,2.2,2018-05-14,444.15,NA,2.07,20.27,11.67,zone.2,17,0,0,7.0699999999999985,1,2,431.13,9.5,9.5,a2,NA,20.719166666666666,155.07,constant,100
